196551	RPS5	1057
210313	PSMD5	3853
215829	SNRPD3	1545
220592	EIF2C2	1192
221494	SF3A2	8530
223321	PSMA2	1803
226730	IL2	1013
227507	CCND1	1055
233609	RPS15	1134
244741	CDKN1A	1066
262193	PSMB1	1165
262367	CREBBP	3947
262584	RPL8	1366
263253	EP300	2124
264657	STAT3	1076
267163	RB1	1426
267868	RAD51	1795
269305	TP53	21623
270202	AKT1	2009
275493	EGFR	2863
278572	RPS3	2649
280892	EIF4E	2387
283195	RANBP2	2073
290541	PSMB4	1317
304350	PRPF8	1540
309831	SNUPN	1796
310127	IRF3	2544
311028	RPS14	1324
311430	RPL4	2360
316879	EIF4G1	1286
317123	SNRNP200	1051
321584	IMPDH2	1171
324897	UBE2I	1782
339007	GRB2	1267
343535	USP7	1171
344456	CTNNB1	2469
344818	UBC	15508
346015	RPL27A	1318
346022	RPL9	1569
350283	BRCA1	1157
352400	NUP214	1130
356425	UCHL5	9043
356520	DHX9	1362
357879	PSMD4	12832
358716	DDX20	1850
359345	RPL5	11029
361626	YBX1	6690
362649	HDAC1	1403
363676	RPL11	6962
368438	PCNA	1243
369213	DDX58	1114
369757	RPS6	1545
376076	SUMO1	1187
396127	RAN	2801
401980	MAVS	1482
406797	PSMB8	1192
417281	MDM2	18784
419851	GMPS	1171
